idx,t,px,py,pz,vx,vy,vz,ax,ay,az,yaw,mode,ledr,ledg,ledb
0,0.0,-3.0,3.0,0.0,1.2607953494920168e-12,-1.48376025249473e-11,0.0807048396932587,-1.51295441939042e-11,1.7805123029936762e-10,-2.246058076319104,0,70,255.0,255.0,255.0
1,0.05,-2.9999999999999547,2.9999999999994658,0.0012485742289573135,5.799658607663277e-13,-6.8252971614757585e-12,-0.030343773741100984,-1.2103635355123362e-11,1.424409842394941e-10,-2.1958864610552835,0,70,255.0,255.0,255.0
2,0.1,-2.999999999999939,2.999999999999288,-0.0029925676947235827,5.043181397968067e-14,-5.935041009978926e-13,-0.13888380641226963,-9.07772651634252e-12,1.0683073817962057e-10,-2.1457148457914625,0,70,255.0,255.0,255.0
3,0.15000000000000002,-2.9999999999999467,2.999999999999377,-0.012597996732883136,-3.278067908679245e-13,3.857776656486299e-12,-0.2449152583202473,-6.051817677561679e-12,7.122049211974703e-11,-2.095543230527642,0,70,255.0,255.0,255.0
4,0.2,-2.9999999999999694,2.9999999999996443,-0.027442283847361797,-5.547499537764872e-13,6.5285451109768104e-12,-0.34843812946503383,-3.0259088387808396e-12,3.5610246059873524e-11,-2.045371615263821,0,70,255.0,255.0,255.0
5,0.25,-3.0,3.0,-0.0474,-6.303976747460084e-13,7.41880126247365e-12,-0.44945241984662937,0.0,0.0,-1.9952000000000019,0,70,255.0,255.0,255.0
6,0.30000000000000004,-3.00000000000003,3.000000000000356,-0.07234571615263824,-5.547499537764872e-13,6.528545110976811e-12,-0.547958129465034,3.025908838780843e-12,-3.5610246059873556e-11,-1.9450283847361798,0,70,255.0,255.0,255.0
7,0.35000000000000003,-3.000000000000053,3.0000000000006235,-0.10215400326711689,-3.2780679086792413e-13,3.857776656486296e-12,-0.6439552583202474,6.0518176775616825e-12,-7.122049211974707e-11,-1.8948567694723577,0,70,255.0,255.0,255.0
8,0.4,-3.0000000000000604,3.0000000000007123,-0.13669943230527645,5.043181397968087e-14,-5.935041009978946e-13,-0.7374438064122697,9.077726516342522e-12,-1.0683073817962058e-10,-1.8446851542085358,0,70,255.0,255.0,255.0
9,0.45,-3.0000000000000453,3.0000000000005342,-0.1758565742289573,5.79965860766328e-13,-6.825297161475761e-12,-0.8284237737411009,1.2103635355123362e-11,-1.424409842394941e-10,-1.7945135389447138,0,70,255.0,255.0,255.0
10,0.5,-3.0,3.0,-0.2195,1.2607953494920168e-12,-1.48376025249473e-11,-0.9168951603067411,1.51295441939042e-11,-1.7805123029936764e-10,-1.7443419236808841,0,70,255.0,255.0,255.0
11,0.55,-2.999999999999924,2.9999999999991096,-0.2674993096184045,1.6390339543396217e-12,-1.9288883282431495e-11,-1.0025597083987632,-1.2924697071141057e-26,1.2924697071141057e-25,-1.6822399999999957,0,70,255.0,255.0,255.0
