idx,t,px,py,pz,vx,vy,vz,ax,ay,az,yaw,mode,ledr,ledg,ledb
0,0.0,0.0,0.0,0.0,3.8078763089345495e-12,-6.70961149272514e-12,0.0807048396918224,-4.56945157072146e-11,8.051533791270168e-11,-2.2460580763018685,0,70,255.0,255.0,255.0
1,0.05,1.3708354712164377e-13,-2.415460137381051e-13,0.0012485742289056066,1.7516231021098925e-12,-3.086421286653565e-12,-0.030343773741761688,-3.6555612565771675e-11,6.441227033016134e-11,-2.195886461041495,0,70,255.0,255.0,255.0
2,0.1,1.827780628288583e-13,-3.2206135165080675e-13,-0.0029925676947925254,1.5231505235738141e-13,-2.6838445970900645e-13,-0.1388838064123271,-2.7416709424328756e-11,4.830920274762101e-11,-2.1457148457811215,0,70,255.0,255.0,255.0
3,0.15000000000000002,1.5993080497525105e-13,-2.8180368269445584e-13,-0.012597996732943461,-9.900478403229838e-13,1.744498988108537e-12,-0.24491525831987387,-1.8277806282885834e-11,3.2206135165080664e-11,-2.0955432305207475,0,70,255.0,255.0,255.0
4,0.2,9.138903141442898e-14,-1.6103067582540342e-13,-0.02744228384739627,-1.6754655759312024e-12,2.9522290567990588e-12,-0.3484381294644019,-9.138903141442915e-12,1.6103067582540338e-11,-2.045371615260374,0,70,255.0,255.0,255.0
5,0.25,0.0,0.0,-0.0474,-1.9039381544672747e-12,3.35480574636257e-12,-0.4494524198459112,0.0,0.0,-1.9952000000000023,0,70,255.0,255.0,255.0
6,0.30000000000000004,-9.138903141442927e-14,1.610306758254035e-13,-0.07234571615260377,-1.6754655759312014e-12,2.952229056799061e-12,-0.547958129464402,9.138903141442927e-12,-1.610306758254035e-11,-1.945028384739627,0,70,255.0,255.0,255.0
7,0.35000000000000003,-1.5993080497525113e-13,2.8180368269445594e-13,-0.10215400326705655,-9.900478403229822e-13,1.7444989881085354e-12,-0.643955258319874,1.8277806282885844e-11,-3.220613516508068e-11,-1.894856769479252,0,70,255.0,255.0,255.0
8,0.4,-1.827780628288584e-13,3.2206135165080675e-13,-0.1366994323052075,1.5231505235738262e-13,-2.6838445970900645e-13,-0.7374438064123271,2.7416709424328763e-11,-4.8309202747621015e-11,-1.8446851542188767,0,70,255.0,255.0,255.0
9,0.45,-1.3708354712164375e-13,2.4154601373810503e-13,-0.17585657422890563,1.7516231021098937e-12,-3.0864212866535652e-12,-0.8284237737417617,3.655561256577168e-11,-6.441227033016134e-11,-1.7945135389585016,0,70,255.0,255.0,255.0
