idx,t,px,py,pz,vx,vy,vz,ax,ay,az,yaw,mode,ledr,ledg,ledb
0,0.0,0.0,3.0,0.0,-3.8078763089345495e-12,-1.48376025249473e-11,0.0807048396918224,4.56945157072146e-11,1.7805123029936762e-10,-2.2460580763018685,0,70,255.0,255.0,255.0
1,0.05,-1.3708354712164377e-13,2.9999999999994658,0.0012485742289056066,-1.7516231021098925e-12,-6.8252971614757585e-12,-0.030343773741761688,3.6555612565771675e-11,1.424409842394941e-10,-2.195886461041495,0,70,255.0,255.0,255.0
2,0.1,-1.827780628288583e-13,2.999999999999288,-0.0029925676947925254,-1.5231505235738141e-13,-5.935041009978926e-13,-0.1388838064123271,2.7416709424328756e-11,1.0683073817962057e-10,-2.1457148457811215,0,70,255.0,255.0,255.0
3,0.15000000000000002,-1.5993080497525105e-13,2.999999999999377,-0.012597996732943461,9.900478403229838e-13,3.857776656486299e-12,-0.24491525831987387,1.8277806282885834e-11,7.122049211974703e-11,-2.0955432305207475,0,70,255.0,255.0,255.0
4,0.2,-9.138903141442898e-14,2.9999999999996443,-0.02744228384739627,1.6754655759312024e-12,6.5285451109768104e-12,-0.3484381294644019,9.138903141442915e-12,3.5610246059873524e-11,-2.045371615260374,0,70,255.0,255.0,255.0
5,0.25,0.0,3.0,-0.0474,1.9039381544672747e-12,7.41880126247365e-12,-0.4494524198459112,0.0,0.0,-1.9952000000000023,0,70,255.0,255.0,255.0
6,0.30000000000000004,9.138903141442927e-14,3.000000000000356,-0.07234571615260377,1.6754655759312014e-12,6.528545110976811e-12,-0.547958129464402,-9.138903141442927e-12,-3.5610246059873556e-11,-1.945028384739627,0,70,255.0,255.0,255.0
7,0.35000000000000003,1.5993080497525113e-13,3.0000000000006235,-0.10215400326705655,9.900478403229822e-13,3.857776656486296e-12,-0.643955258319874,-1.8277806282885844e-11,-7.122049211974707e-11,-1.894856769479252,0,70,255.0,255.0,255.0
8,0.4,1.827780628288584e-13,3.0000000000007123,-0.1366994323052075,-1.5231505235738262e-13,-5.935041009978946e-13,-0.7374438064123271,-2.7416709424328763e-11,-1.0683073817962058e-10,-1.8446851542188767,0,70,255.0,255.0,255.0
9,0.45,1.3708354712164375e-13,3.0000000000005342,-0.17585657422890563,-1.7516231021098937e-12,-6.825297161475761e-12,-0.8284237737417617,-3.655561256577168e-11,-1.424409842394941e-10,-1.7945135389585016,0,70,255.0,255.0,255.0
10,0.5,0.0,3.0,-0.2195,-3.8078763089345495e-12,-1.48376025249473e-11,-0.9168951603081774,-4.5694515707214603e-11,-1.7805123029936764e-10,-1.7443419236981175,0,70,255.0,255.0,255.0
11,0.55,-2.2847257853607323e-13,2.9999999999991096,-0.26749930961849067,-4.950239201614915e-12,-1.9288883282431495e-11,-1.0025597084006304,3.877409121342317e-26,1.2924697071141057e-25,-1.6822399999999949,0,70,255.0,255.0,255.0
12,0.6000000000000001,-4.569451570721463e-13,2.999999999998219,-0.31970421923698134,-3.807876308934545e-12,-1.483760252494729e-11,-1.085119160308177,4.569451570721468e-11,1.780512302993679e-10,-1.6201380763018722,0,70,255.0,255.0,255.0
13,0.65,-5.711814463401826e-13,2.9999999999977742,-0.3759594740462266,-3.8078763089345293e-13,-1.483760252494727e-12,-1.1645735160308175,9.138903141442922e-11,3.561024605987353e-10,-1.5580361526037496,0,70,255.0,255.0,255.0
14,0.7000000000000001,-4.569451570721455e-13,2.9999999999982196,-0.4361098192369813,5.33102683250838e-12,2.0772643534926254e-11,-1.2409227755685521,1.3708354712164386e-10,5.34153690898103e-10,-1.495934228905627,0,70,255.0,255.0,255.0
15,0.75,0.0,3.0,-0.5,1.3327567081270924e-11,5.193160883731556e-11,-1.3141669389213801,1.8277806282885836e-10,7.122049211974706e-10,-1.4338323052074937,0,70,255.0,255.0,255.0
16,0.8,8.225012827298635e-13,3.000000000003205,-0.5674762453734339,1.8125491230528456e-11,7.062698801874917e-11,-1.3843950369330769,9.138903141442767e-12,3.561024605987303e-11,-1.375291615260372,0,70,255.0,255.0,255.0
17,0.8500000000000001,1.6678498233133336e-12,3.000000000006499,-0.6383907197850186,1.4241457395415202e-11,5.549263344330286e-11,-1.4516961004474174,-1.6450025654597283e-10,-6.409844290777245e-10,-1.3167509253132503,0,70,255.0,255.0,255.0
18,0.9,2.1019477225318714e-12,3.0000000000081903,-0.7125970715098863,1.6754655759311903e-12,6.528545110976783e-12,-1.516070129464402,-3.3813941623338814e-10,-1.3175791042153207e-09,-1.2582102353661289,0,70,255.0,255.0,255.0
19,0.9500000000000001,1.690697081166938e-12,3.000000000006588,-0.7899489488231695,-1.9572484227923623e-11,-7.626527697822925e-11,-1.5775171239840302,-5.117785759208037e-10,-1.9941737793529184e-09,-1.199669545419007,0,70,255.0,255.0,255.0
20,1.0,0.0,3.0,-0.8703,-4.9502392016149145e-11,-1.9288883282431494e-10,-1.6360370840063025,-6.854177356082189e-10,-2.6707684544905148e-09,-1.1411288554718784,0,70,255.0,255.0,255.0
21,1.05,-3.061532552383381e-12,2.9999999999880704,-0.9535053088877744,-6.755172572049892e-11,-2.6321906879256517e-10,-1.691716143867062,-3.655561256577107e-11,-1.4244098423949213e-10,-1.0860335389585007,0,70,255.0,255.0,255.0
22,1.1,-6.21445413618119e-12,2.999999999975785,-1.0394257016229451,-5.315795327272626e-11,-2.071329312482642e-10,-1.7446404379021527,6.123065104766768e-10,2.3858864860115305e-09,-1.030938222445123,0,70,255.0,255.0,255.0
23,1.1500000000000001,-7.836609443787305e-12,2.999999999969464,-1.1279234399142288,-6.321074672831189e-12,-2.4630420191411927e-11,-1.7948099661115744,1.2611686335191247e-09,4.914213956262553e-09,-0.9758429059317453,0,70,255.0,255.0,255.0
24,1.2000000000000002,-6.3058431675956e-12,2.999999999975429,-1.2188607854703417,7.295891007918631e-11,2.8428846437799145e-10,-1.8422247284953273,1.9100307565615723e-09,7.442541426513576e-09,-0.9207475894183675,0,70,255.0,255.0,255.0
25,1.25,0.0,3.0,-1.3121,1.8468200098332566e-10,7.196237224599442e-10,-1.8868847250534109,2.558892879604017e-09,9.970868896764589e-09,-0.8656522729049776,0,70,255.0,255.0,255.0
26,1.3,1.1423628926803659e-11,3.000000000044513,-1.407508119075469,2.5208141165146723e-10,9.822492871515117e-10,-1.9290763875986758,1.3708354712164143e-10,5.34153690898096e-10,-0.8220142289056177,0,70,255.0,255.0,255.0
27,1.35,2.3189966721411424e-11,3.000000000090361,-1.5049712737232015,1.9839035569548984e-10,7.730390915497538e-10,-1.9690861479439727,-2.2847257853607343e-09,-8.902561514968397e-09,-0.7783761849062578,0,70,255.0,255.0,255.0
28,1.4000000000000001,2.924449005261735e-11,3.000000000113953,-1.6043803688332001,2.3608833115393532e-11,9.199313565467108e-11,-2.0069140060893016,-4.706535117843109e-09,-1.833927672083489e-08,-0.7347381409068978,0,70,255.0,255.0,255.0
29,1.4500000000000002,2.3532675589215466e-11,3.0000000000916964,-1.705626309295466,-2.722631560888215e-10,-1.060888580533737e-09,-2.0425599620346624,-7.128344450325486e-09,-2.7775991926701383e-08,-0.691100096907538,0,70,255.0,255.0,255.0
30,1.5,0.0,3.0,-1.8086,-6.892256119171535e-10,-2.685606057015462e-09,-2.0760240157800554,-9.550153782807854e-09,-3.721270713256784e-08,-0.6474620529081854,0,70,255.0,255.0,255.0
31,1.55,-4.263298315483126e-11,2.9999999998338787,-1.9131854148103509,-9.4077392088537e-10,-3.6657780798134814e-09,-2.106890305738235,-5.117785759207976e-10,-1.9941737793528873e-09,-0.5871895454190088,0,70,255.0,255.0,255.0
32,1.6,-8.65454127494645e-11,2.9999999996627706,-2.0192388034842494,-7.404034695092335e-10,-2.8850234349507515e-09,-2.1347429703219563,8.526596630966259e-09,3.322435957386207e-08,-0.5269170379298322,0,70,255.0,255.0,255.0
33,1.6500000000000001,-1.091413507666821e-10,2.9999999995747246,-2.126609484752972,-8.811425778874312e-11,-3.433421224272702e-10,-2.1595820095312184,1.7564971837853317e-08,6.844289292707702e-08,-0.4666445304406557,0,70,255.0,255.0,255.0
34,1.7000000000000002,-8.782485918926632e-11,2.9999999996577857,-2.2351467773477967,1.0160937142760996e-09,3.959265857756958e-09,-2.181407423366022,2.660334704474037e-08,1.0366142628029198e-07,-0.4063720229514791,0,70,255.0,255.0,255.0
35,1.75,0.0,3.0,-2.3447,2.5722204466852885e-09,1.0022800505601904e-08,-2.200219211826367,3.564172225162738e-08,1.3887995963350673e-07,-0.34609951546231343,0,70,255.0,255.0,255.0
36,1.8,1.591083036925214e-10,3.0000000006199743,-2.455119821683128,3.5110142718900126e-09,1.3680863032102411e-08,-2.216098389448384,1.910030756561535e-09,7.4425414265134335e-09,-0.2890675894183658,0,70,255.0,255.0,255.0
37,1.85,3.229916842764466e-10,3.000000001258555,-2.566262312339802,2.7632235223414425e-09,1.0767054648253249e-08,-2.2291259707682034,-3.182166073850431e-08,-1.2399487678047987e-07,-0.23203566337441817,0,70,255.0,255.0,255.0
38,1.9000000000000001,4.073209130141109e-10,3.0000000015871486,-2.6779848921549116,3.2884819803957905e-10,1.2813753540544123e-09,-2.239301955785826,-6.555335223357015e-08,-2.554322949874732e-07,-0.17500373733047056,0,70,255.0,255.0,255.0
39,1.9500000000000002,3.277667611678496e-10,3.0000000012771615,-2.790144981313348,-3.792111701015579e-09,-1.4776174850494091e-08,-2.2466263445012506,-9.928504372863601e-08,-3.8686971319446647e-07,-0.11797181128652293,0,70,255.0,255.0,255.0
40,2.0,0.0,3.0,-2.9026,-9.599656174824e-09,-3.7405595965392154e-08,-2.251099136914478,-1.330167352237017e-07,-5.183071314014592e-07,-0.06093988524257554,0,70,255.0,255.0,255.0
41,2.0500000000000003,-5.938002316152572e-10,2.999999997686224,-3.0152072984571383,-1.3103283166674682e-08,-5.105767404859618e-08,-2.252716136468231,-7.128344450324815e-09,-2.7775991926698742e-08,-0.003740096907537502,0,70,255.0,255.0,255.0
42,2.1,-1.205421324356322e-09,2.9999999953030083,-3.127823947156544,-1.0312490619856536e-08,-4.018319515806225e-08,-2.251473146605232,1.1876004632305095e-07,4.627551475480573e-07,0.05345969142750004,0,70,255.0,255.0,255.0
43,2.15,-1.5201423012897615e-09,2.999999994076681,-3.2403069466273813,-1.2272785343696252e-09,-4.782159293790602e-09,-2.2473701673254807,2.446484370964267e-07,9.532862870228135e-07,0.11065947976253757,0,70,255.0,255.0,255.0
44,2.2,-1.2232421854821323e-09,2.9999999952335683,-3.3525132973988137,1.415235308978621e-08,5.5145433544219374e-08,-2.2404071986289775,3.705368278698036e-07,1.4438174264975738e-06,0.16785926809757562,0,70,255.0,255.0,255.0
45,2.25,0.0,3.0,-3.4643,3.582640425261071e-08,1.395995833559667e-07,-2.230584240515723,4.964252186431792e-07,1.9343485659723296e-06,0.2250590564326167,0,70,255.0,255.0,255.0
46,2.3000000000000003,2.216092622768506e-09,3.0000000086351286,-3.5755237844883228,4.8902118394808715e-08,1.905498331622823e-07,-2.2178850646786943,2.6603347044737744e-08,1.0366142628028172e-07,0.2829079770485233,0,70,255.0,255.0,255.0
47,2.35,4.498693613148841e-09,3.000000017529411,-3.686040299034023,3.84867389570847e-08,1.4996572598399573e-07,-2.2022934428108707,-4.432185245536995e-07,-1.7270257134117496e-06,0.3407568976644293,0,70,255.0,255.0,255.0
48,2.4000000000000004,5.673248292144936e-09,3.0000000221061285,-3.7957049213355636,4.580265939438485e-09,1.784726182110631e-08,-2.183809374912251,-9.130403961521411e-07,-3.5577128531037977e-06,0.39860581828033587,0,70,255.0,255.0,255.0
49,2.45,4.565201980760679e-09,3.0000000177885644,-3.904373029091402,-5.281730065812929e-08,-2.0580555932638355e-07,-2.162432860982837,-1.3828622677505783e-06,-5.388399992795829e-06,0.4564547388962419,0,70,255.0,255.0,255.0
50,2.5,0.0,3.0,-4.0119,-1.3370596083561884e-07,-5.209927374584747e-07,-2.138163901022627,-1.8526841393490153e-06,-7.219087132487861e-06,0.5143036595121622,0,70,255.0,255.0,255.0
51,2.5500000000000003,-8.270570259458767e-09,2.9999999677732614,-4.118141563589575,-1.8250519041256016e-07,-7.111416586005329e-07,-2.111023604816986,-9.928504372862632e-08,-3.8686971319442984e-07,0.5713081887134702,0,70,255.0,255.0,255.0
52,2.6,-1.678935312823904e-08,2.999999934579349,-4.222954856707364,-1.4363446520848222e-07,-5.596797087779208e-07,-2.08103308215128,1.654114051891747e-06,6.445347706098942e-06,0.6283127179147777,0,70,255.0,255.0,255.0
53,2.6500000000000004,-2.117285086728998e-08,2.9999999174988057,-4.3261973680303685,-1.7093785223384474e-08,-6.660688799063534e-08,-2.0481923330255083,3.407513147512136e-06,1.3277565125392373e-05,0.6853172471160858,0,70,255.0,255.0,255.0
