idx,t,px,py,pz,vx,vy,vz,ax,ay,az,yaw,mode,ledr,ledg,ledb
0,0.0,3.0,-3.0,0.0,1.374723991567263e-12,-5.965135087845485e-11,0.08070372962164774,-1.6496687898807156e-11,7.158162105414581e-10,-2.2460447554597724,0,70,255.0,255.0,255.0
1,0.05,3.0000000000000497,-3.000000000002147,0.0012485342663793185,6.323730361209409e-13,-2.743962140408923e-11,-0.030344284374042036,-1.3197350319045724e-11,5.726529684331666e-10,-2.195875804367818,0,70,255.0,255.0,255.0
2,0.1,3.000000000000066,-3.0000000000028635,-0.0029926209781609096,5.4988959662690333e-14,-2.3860540351381956e-12,-0.13888385081513407,-9.898012739284293e-12,4.2948972632487487e-10,-2.145706853275864,0,70,255.0,255.0,255.0
3,0.15000000000000002,3.0000000000000577,-3.000000000002505,-0.012598043355890797,-3.5742823780748845e-13,1.5509351228398267e-11,-0.24491496970162846,-6.5986751595228614e-12,2.863264842165832e-10,-2.095537902183909,0,70,255.0,255.0,255.0
4,0.2,3.000000000000033,-3.000000000001432,-0.02744231048908046,-6.048785562895961e-13,2.6246594386520127e-11,-0.34843764103352504,-3.29933757976143e-12,1.431632421082916e-10,-2.045368951091955,0,70,255.0,255.0,255.0
5,0.25,3.0,-3.0,-0.0474,-6.873619957836315e-13,2.9825675439227425e-11,-0.4494518648108239,0.0,0.0,-1.9952000000000014,0,70,255.0,255.0,255.0
6,0.30000000000000004,2.999999999999967,-2.9999999999985683,-0.07234568951091958,-6.048785562895955e-13,2.6246594386520127e-11,-0.5479576410335252,3.299337579761434e-12,-1.4316324210829177e-10,-1.945031048908046,0,70,255.0,255.0,255.0
7,0.35000000000000003,2.9999999999999423,-2.999999999997495,-0.10215395664410921,-3.574282378074881e-13,1.550935122839825e-11,-0.6439549697016285,6.598675159522865e-12,-2.8632648421658333e-10,-1.8948620978160904,0,70,255.0,255.0,255.0
8,0.4,2.9999999999999343,-2.999999999997137,-0.13669937902183912,5.498895966269079e-14,-2.3860540351382005e-12,-0.7374438508151341,9.898012739284295e-12,-4.2948972632487497e-10,-1.844693146724135,0,70,255.0,255.0,255.0
9,0.45,2.9999999999999503,-2.999999999997853,-0.17585653426637934,6.323730361209412e-13,-2.7439621404089237e-11,-0.828424284374042,1.3197350319045726e-11,-5.726529684331666e-10,-1.7945241956321796,0,70,255.0,255.0,255.0
10,0.5,3.0,-3.0,-0.2195,1.374723991567263e-12,-5.965135087845485e-11,-0.9168962703783521,1.649668789880716e-11,-7.15816210541458e-10,-1.7443552445402162,0,70,255.0,255.0,255.0
11,0.55,3.0000000000000826,-3.000000000003579,-0.2674993762227012,1.7871411890374423e-12,-7.75467561419913e-11,-1.0025611514918575,-9.693522803355793e-27,7.237830359838992e-25,-1.682239999999996,0,70,255.0,255.0,255.0
12,0.6000000000000001,3.000000000000165,-3.000000000007158,-0.3197043524454023,1.3747239915672617e-12,-5.965135087845477e-11,-1.085120270378352,-1.649668789880718e-11,7.158162105414595e-10,-1.6201247554597755,0,70,255.0,255.0,255.0
13,0.65,3.000000000000206,-3.0000000000089475,-0.3759596405567528,1.3747239915672692e-13,-5.96513508784544e-12,-1.1645736270378348,-3.299337579761431e-11,1.4316324210829167e-09,-1.5580095109195553,0,70,255.0,255.0,255.0
14,0.7000000000000001,3.0000000000001648,-3.0000000000071583,-0.43610995244540235,-1.9246135881941712e-12,8.351189122983693e-11,-1.2409212214703074,-4.949006369642149e-11,2.1474486316243755e-09,-1.495894266379335,0,70,255.0,255.0,255.0
15,0.75,3.0,-3.0,-0.5,-4.81153397048542e-12,2.0877972807459197e-10,-1.3141630536757687,-6.598675159522861e-11,2.8632648421658326e-09,-1.4337790218391167,0,70,255.0,255.0,255.0
16,0.8,2.999999999999703,-2.999999999987115,-0.5674760055982762,-6.543686199860172e-12,2.839404301814451e-10,-1.3843897529990454,-3.2993375797613685e-12,1.431632421082891e-10,-1.3752889510919561,0,70,255.0,255.0,255.0
17,0.8500000000000001,2.9999999999993983,-2.999999999973873,-0.638390233574282,-5.141467728461557e-12,2.2309605228542095e-10,-1.4516919487849644,5.938807643570587e-11,-2.5769383579492544e-09,-1.3167988803447956,0,70,255.0,255.0,255.0
18,0.9,2.999999999999241,-2.9999999999670726,-0.7125964587511499,-6.048785562895923e-13,2.6246594386519966e-11,-1.516069641033525,1.2207549045117297e-10,-5.297039958006793e-09,-1.2583088095976354,0,70,255.0,255.0,255.0
19,0.9500000000000001,2.9999999999993894,-2.999999999973515,-0.7899484559520119,7.0660813166557446e-12,-3.0660794351525856e-10,-1.5775228297447281,1.847629044666402e-10,-8.017141558064336e-09,-1.1998187388504749,0,70,255.0,255.0,255.0
20,1.0,3.0,-3.0,-0.8703,1.787141189037442e-11,-7.75467561419913e-10,-1.6360515149185728,2.4745031848210733e-10,-1.0737243158121874e-08,-1.1413286681033235,0,70,255.0,255.0,255.0
21,1.05,3.0000000000011053,-3.00000000004796,-0.953506201384195,2.438760361040325e-11,-1.058214964583789e-09,-1.6917358365119606,1.3197350319045526e-11,-5.726529684331581e-10,-1.0860441956321814,0,70,255.0,255.0,255.0
22,1.1,3.0000000000022435,-3.0000000000973515,-1.0394275132574702,1.919114692227897e-11,-8.32732858263229e-10,-1.7446559344817911,-2.2105561784401628e-10,9.591937221255558e-09,-1.0307597231610393,0,70,255.0,255.0,255.0
23,1.1500000000000001,3.0000000000028293,-3.0000000001227627,-1.127925724438648,2.2820418260015954e-12,-9.90212424582328e-11,-1.7948118088280647,-4.553085860070782e-10,1.975652741094427e-08,-0.9754752506898973,0,70,255.0,255.0,255.0
24,1.2000000000000002,3.000000000002277,-3.0000000000987828,-1.218862623746551,-2.6339711678428895e-11,1.1429198828312e-09,-1.8422034595507808,-6.895615541701399e-10,2.992111760063299e-08,-0.9201907782187553,0,70,255.0,255.0,255.0
25,1.25,3.0,-3.0,-1.3121,-6.667411359101225e-11,2.89309051760506e-09,-1.8868308866499401,-9.238145223332009e-10,4.008570779032165e-08,-0.8649063057476081,0,70,255.0,255.0,255.0
26,1.3,2.9999999999958757,-2.9999999998210463,-1.4075047888649448,-9.100672824175282e-11,3.948919428153711e-09,-1.9290029009531136,-4.949006369642072e-11,2.147448631624339e-09,-0.8219742663793294,0,70,255.0,255.0,255.0
27,1.35,2.999999999991628,-2.9999999996367235,-1.504964513395838,-7.162311996065435e-11,3.107835380767494e-09,-1.969028313287873,8.248343949403594e-10,-3.579081052707297e-08,-0.7790422270110506,0,70,255.0,255.0,255.0
28,1.4000000000000001,2.999999999989442,-2.9999999995418776,-1.6043718434942587,-8.523288747716781e-12,3.6983837544640987e-10,-2.006907123654219,1.6991588535771395e-09,-7.372906968577029e-08,-0.736110187642772,0,70,255.0,255.0,255.0
29,1.4500000000000002,2.999999999991504,-2.9999999996313544,-1.7056194490617866,9.829276539705971e-11,-4.26507158780954e-09,-2.0426393320521505,2.5734833122139197e-09,-1.1166732884446759e-07,-0.6931781482744933,0,70,255.0,255.0,255.0
30,1.5,3.0,-3.0,-1.8086,2.488250424736746e-10,-1.0796894509000327e-08,-2.076224938481668,3.4478077708506966e-09,-1.4960558800316474e-07,-0.6502461089062059,0,70,255.0,255.0,255.0
31,1.55,3.0000000000153912,-3.0000000006678564,-1.9131986431560262,3.3963930935660807e-10,-1.4737462748031053e-08,-2.107212559675585,1.8476290446663777e-10,-8.017141558064183e-09,-0.5892587388504814,0,70,255.0,255.0,255.0
32,1.6,3.000000000031245,-3.000000001355756,-2.019270433159179,2.6730133292033843e-10,-1.159860866480675e-08,-2.135150812366716,-3.078281961917421e-09,1.3357130488703637e-07,-0.5282713687947569,0,70,255.0,255.0,255.0
33,1.6500000000000001,3.0000000000394023,-3.0000000017097275,-2.1266629015843184,3.181111316486571e-11,-1.380332259327405e-09,-2.1600396965550606,-6.341326828301479e-09,2.751597513321369e-07,-0.46728399873903237,0,70,255.0,255.0,255.0
