idx,t,px,py,pz,vx,vy,vz,ax,ay,az,yaw,mode,ledr,ledg,ledb
0,0.0,0.0,-3.0,0.0,-6.841432782956699e-77,-5.965135087845485e-11,0.08070372965037953,8.209719339548038e-76,7.158162105414581e-10,-2.246044755804554,0,70,255.0,255.0,255.0
1,0.05,-2.462915801864412e-78,-3.000000000002147,0.001248534267413663,-3.147059080160082e-77,-2.743962140408923e-11,-0.030344284360825403,6.56777547163843e-76,5.726529684331666e-10,-2.1958758046436433,0,70,255.0,255.0,255.0
2,0.1,-3.283887735819216e-78,-3.0000000000028635,-0.0029926209767817836,-2.736573113182688e-78,-2.3860540351381956e-12,-0.1388838508139848,4.925831603728823e-76,4.2948972632487487e-10,-2.1457068534827326,0,70,255.0,255.0,255.0
3,0.15000000000000002,-2.873401768841814e-78,-3.000000000002505,-0.012598043354684063,1.7787725235687417e-77,1.5509351228398267e-11,-0.24491496970909868,3.2838877358192146e-76,2.863264842165832e-10,-2.095537902321822,0,70,255.0,255.0,255.0
4,0.2,-1.6419438679096085e-78,-3.000000000001432,-0.027442310488390898,3.0102304245009454e-77,2.6246594386520127e-11,-0.348437641046167,1.6419438679096076e-76,1.431632421082916e-10,-2.045368951160911,0,70,255.0,255.0,255.0
5,0.25,0.0,-3.0,-0.0474,3.4207163914783494e-77,2.9825675439227425e-11,-0.4494518648251898,0.0,0.0,-1.995200000000001,0,70,255.0,255.0,255.0
6,0.30000000000000004,1.6419438679096093e-78,-2.9999999999985683,-0.07234568951160913,3.010230424500947e-77,2.6246594386520127e-11,-0.5479576410461671,-1.641943867909609e-76,-1.4316324210829177e-10,-1.9450310488390894,0,70,255.0,255.0,255.0
7,0.35000000000000003,2.8734017688418145e-78,-2.999999999997495,-0.10215395664531597,1.778772523568741e-77,1.550935122839825e-11,-0.6439549697090988,-3.2838877358192165e-76,-2.8632648421658333e-10,-1.894862097678178,0,70,255.0,255.0,255.0
8,0.4,3.283887735819215e-78,-2.999999999997137,-0.13669937902321824,-2.736573113182686e-78,-2.3860540351382005e-12,-0.7374438508139849,-4.9258316037288234e-76,-4.2948972632487497e-10,-1.8446931465172665,0,70,255.0,255.0,255.0
9,0.45,2.462915801864411e-78,-2.999999999997853,-0.17585653426741368,-3.1470590801600824e-77,-2.7439621404089237e-11,-0.8284242843608254,-6.56777547163843e-76,-5.726529684331666e-10,-1.794524195356355,0,70,255.0,255.0,255.0
10,0.5,0.0,-3.0,-0.2195,-6.841432782956699e-77,-5.965135087845485e-11,-0.9168962703496203,-8.209719339548039e-76,-7.15816210541458e-10,-1.7443552441954369,0,70,255.0,255.0,255.0
11,0.55,-4.104859669774024e-78,-3.000000000003579,-0.2674993762209773,-8.89386261784371e-77,-7.75467561419913e-11,-1.0025611514545063,7.36364019794659e-91,7.237830359838992e-25,-1.6822399999999968,0,70,255.0,255.0,255.0
12,0.6000000000000001,-8.209719339548046e-78,-3.000000000007158,-0.3197043524419545,-6.841432782956691e-77,-5.965135087845477e-11,-1.08512027034962,8.209719339548054e-76,7.158162105414595e-10,-1.6201247558045566,0,70,255.0,255.0,255.0
13,0.65,-1.026214917443505e-77,-3.0000000000089475,-0.37595964055244296,-6.841432782956657e-78,-5.96513508784544e-12,-1.1645736270349618,1.641943867909608e-75,1.4316324210829167e-09,-1.5580095116091166,0,70,255.0,255.0,255.0
14,0.7000000000000001,-8.209719339548031e-78,-3.0000000000071583,-0.43610995244195444,9.578005896139394e-77,8.351189122983693e-11,-1.2409212215105316,2.462915801864413e-75,2.1474486316243755e-09,-1.4958942674136766,0,70,255.0,255.0,255.0
15,0.75,0.0,-3.0,-0.5,2.3945014740348445e-76,2.0877972807459197e-10,-1.3141630537763296,3.283887735819216e-75,2.8632648421658326e-09,-1.433779023218234,0,70,255.0,255.0,255.0
16,0.8,1.4777494811186484e-77,-2.999999999987115,-0.5674760056044821,3.256522004687389e-76,2.839404301814451e-10,-1.3843897531358083,1.641943867909583e-76,1.431632421082891e-10,-1.3752889511609108,0,70,255.0,255.0,255.0
