Name,IsRandom, NumberFrame, Infor
68,False, 1,(14.26;50.39;12.6); (0.2122642;0.3598944;1;1)
69,False, 1,(17.24;50.39;12.6); (0.2122642;0.3598944;1;1)
70,False, 1,(21.42;50.33;12.6); (0.2122642;0.3598944;1;1)
71,False, 1,(14.2;46.34;12.6); (0.2122642;0.3598944;1;1)
72,False, 1,(17.13;42.64;12.6); (0.2122642;0.3598944;1;1)
73,False, 1,(21.2;42.71;12.6); (0.2122642;0.3598944;1;1)
74,False, 1,(23.24;46.45;12.6); (0.2122642;0.3598944;1;1)
75,False, 1,(32.76;57.81;12.6); (0.2122642;0.3598944;1;1)
76,False, 1,(29.77;54.21;12.6); (0.2122642;0.3598944;1;1)
77,False, 1,(29.84;50.33;12.6); (0.2122642;0.3598944;1;1)
78,False, 1,(32.76;50.33;12.6); (0.2122642;0.3598944;1;1)
79,False, 1,(36.91;50.26;12.6); (0.2122642;0.3598944;1;1)
80,False, 1,(29.84;46.66;12.6); (0.2122642;0.3598944;1;1)
81,False, 1,(38.75;46.52;12.6); (0.2122642;0.3598944;1;1)
82,False, 1,(32.7;42.71;12.6); (0.2122642;0.3598944;1;1)
83,False, 1,(36.98;42.58;12.6); (0.2122642;0.3598944;1;1)
84,False, 1,(5.800003;57.89;12.6); (0.2122642;0.3598944;1;1)
