Time [msec],x [m],y [m],z [m],Red,Green,Blue
0,3,3,0,255,255,255
250,3,3,0.0474,255,255,255
500,3,3,0.2195,255,255,255
750,3,3,0.5,255,255,255
1000,3,3,0.8703,255,255,255
1250,3,3,1.3121,255,255,255
1500,3,3,1.8086,255,255,255
1750,3,3,2.3447,255,255,255
2000,3,3,2.9026,255,255,255
2250,3,3,3.4643,255,255,255
2500,3,3,4.0119,255,255,255
2750,3,3,4.5274,255,255,255
3000,3,3,4.9929,255,255,255
3250,3,3,5.3904,255,255,255
3500,3,3,5.7019,255,255,255
3750,3,3,5.9096,255,255,255
4000,3.0002,3.0005,6.009,255,255,255
4250,3.0014,3.0028,6.0396,255,255,255
4500,3.0043,3.0083,6.0407,255,255,255
4750,3.0098,3.0179,6.0515,255,255,255
5000,3.0181,3.0323,6.0925,255,255,255
5250,3.0287,3.051,6.1462,255,255,255
5500,3.0416,3.0739,6.2117,255,255,255
5750,3.0567,3.1009,6.2888,255,255,255
6000,3.0741,3.1318,6.3772,255,255,255
6250,3.0936,3.1666,6.4765,255,255,255
6500,3.1152,3.2052,6.5865,255,255,255
6750,3.1388,3.2473,6.7069,255,255,255
7000,3.1645,3.293,6.8373,255,255,255
7250,3.192,3.342,6.9775,255,255,255
7500,3.2214,3.3944,7.1272,255,255,255
7750,3.2526,3.4499,7.2861,255,255,255
8000,3.2856,3.5086,7.454,255,255,255
8250,3.3202,3.5703,7.6306,255,255,255
8500,3.3565,3.6349,7.8155,255,255,255
8750,3.3944,3.7024,8.0087,255,255,255
9000,3.4339,3.7727,8.2097,255,255,255
9250,3.4749,3.8456,8.4183,255,255,255
9500,3.5172,3.9211,8.6343,255,255,255
9750,3.561,3.9991,8.8574,255,255,255
10000,3.6061,4.0796,9.0872,255,255,255
10250,3.6525,4.1623,9.3236,255,255,255
10500,3.7002,4.2472,9.5662,255,255,255
10750,3.749,4.3343,9.8149,255,255,255
11000,3.7989,4.4234,10.0692,255,255,255
11250,3.8499,4.5145,10.329,255,255,255
11500,3.9019,4.6075,10.594,255,255,255
11750,3.9549,4.7022,10.8639,255,255,255
12000,4.0089,4.7986,11.1384,255,255,255
12250,4.0636,4.8966,11.4174,255,255,255
12500,4.1192,4.996,11.7004,255,255,255
12750,4.1756,5.0968,11.9873,255,255,255
13000,4.2326,5.1988,12.2778,255,255,255
13250,4.2903,5.3019,12.5716,255,255,255
13500,4.3486,5.406,12.8685,255,255,255
13750,4.4075,5.5111,13.1681,255,255,255
14000,4.4668,5.6171,13.4703,255,255,255
14250,4.5266,5.7238,13.7747,255,255,255
14500,4.5868,5.8312,14.081,255,255,255
14750,4.6473,5.9392,14.389,255,255,255
15000,4.7081,6.0476,14.6984,255,255,255
15250,4.7691,6.1564,15.009,255,255,255
15500,4.8302,6.2656,15.3204,255,255,255
15750,4.8915,6.3749,15.6325,255,255,255
16000,4.9529,6.4843,15.9449,255,255,255
16250,5.0142,6.5937,16.2573,255,255,255
16500,5.0756,6.703,16.5695,255,255,255
16750,5.1368,6.8121,16.8812,255,255,255
17000,5.1979,6.921,17.1922,255,255,255
17250,5.2588,7.0295,17.5021,255,255,255
17500,5.3194,7.1375,17.8108,255,255,255
17750,5.3797,7.245,18.1178,255,255,255
18000,5.4396,7.3518,18.423,255,255,255
18250,5.4992,7.4578,18.7261,255,255,255
18500,5.5583,7.563,19.0269,255,255,255
18750,5.6168,7.6673,19.3249,255,255,255
19000,5.6748,7.7705,19.62,255,255,255
19250,5.7321,7.8726,19.9119,255,255,255
19500,5.7888,7.9735,20.2004,255,255,255
19750,5.8447,8.073,20.4851,255,255,255
20000,5.8998,8.1712,20.7658,255,255,255
20250,5.9541,8.2678,21.0421,255,255,255
20500,6.0075,8.3628,21.314,255,255,255
20750,6.0599,8.4562,21.581,255,255,255
21000,6.1114,8.5477,21.8428,255,255,255
21250,6.1618,8.6374,22.0994,255,255,255
21500,6.2111,8.725,22.3502,255,255,255
21750,6.2592,8.8106,22.5951,255,255,255
22000,6.3061,8.8941,22.8339,255,255,255
22250,6.3517,8.9752,23.0662,255,255,255
22500,6.396,9.0541,23.2917,255,255,255
22750,6.4389,9.1304,23.5103,255,255,255
23000,6.4804,9.2042,23.7215,255,255,255
23250,6.5204,9.2754,23.9252,255,255,255
23500,6.5589,9.3438,24.1211,255,255,255
23750,6.5958,9.4094,24.3089,255,255,255
24000,6.6311,9.4721,24.4884,255,255,255
24250,6.6646,9.5318,24.6591,255,255,255
24500,6.6964,9.5883,24.821,255,255,255
24750,6.7264,9.6416,24.9737,255,255,255
25000,6.7545,9.6917,25.117,255,255,255
25250,6.7808,9.7383,25.2505,255,255,255
25500,6.805,9.7814,25.374,255,255,255
25750,6.8273,9.821,25.4873,255,255,255
26000,6.8475,9.8569,25.59,255,255,255
26250,6.8655,9.889,25.6819,255,255,255
26500,6.8814,9.9172,25.7628,255,255,255
