Time [msec],x [m],y [m],z [m],Red,Green,Blue
0,0,3,0,255,255,255
250,0,3,0.0474,255,255,255
500,0,3,0.2195,255,255,255
750,0,3,0.5,255,255,255
1000,0,3,0.8703,255,255,255
1250,0,3,1.3121,255,255,255
1500,0,3,1.8086,255,255,255
1750,0,3,2.3447,255,255,255
2000,0,3,2.9026,255,255,255
2250,0,3,3.4643,255,255,255
2500,0,3,4.0119,255,255,255
2750,0,3,4.5274,255,255,255
3000,0,3,4.9929,255,255,255
3250,0,3,5.3904,255,255,255
3500,0,3,5.7019,255,255,255
3750,0,3,5.9096,255,255,255
4000,0.0002,3.0005,6.0088,255,255,255
4250,0.0012,3.0028,6.0382,255,255,255
4500,0.0034,3.0083,6.0365,255,255,255
4750,0.0072,3.0179,6.0425,255,255,255
5000,0.0128,3.0323,6.0763,255,255,255
5250,0.0201,3.051,6.1205,255,255,255
5500,0.029,3.0739,6.1744,255,255,255
5750,0.0396,3.1009,6.2378,255,255,255
6000,0.0517,3.1318,6.3105,255,255,255
6250,0.0653,3.1666,6.3922,255,255,255
6500,0.0803,3.2052,6.4829,255,255,255
6750,0.0968,3.2473,6.5822,255,255,255
7000,0.1146,3.293,6.6897,255,255,255
7250,0.1338,3.342,6.8052,255,255,255
7500,0.1542,3.3944,6.9286,255,255,255
7750,0.1759,3.4499,7.0595,255,255,255
8000,0.1989,3.5086,7.1978,255,255,255
8250,0.223,3.5703,7.3432,255,255,255
8500,0.2483,3.6349,7.4956,255,255,255
8750,0.2746,3.7024,7.6547,255,255,255
9000,0.3021,3.7727,7.8203,255,255,255
9250,0.3306,3.8456,7.9922,255,255,255
9500,0.3601,3.9211,8.1701,255,255,255
9750,0.3906,3.9991,8.3538,255,255,255
10000,0.422,4.0796,8.5432,255,255,255
10250,0.4543,4.1623,8.738,255,255,255
10500,0.4875,4.2472,8.938,255,255,255
10750,0.5215,4.3343,9.1429,255,255,255
11000,0.5563,4.4234,9.3526,255,255,255
11250,0.5918,4.5145,9.5669,255,255,255
11500,0.6281,4.6075,9.7854,255,255,255
11750,0.665,4.7022,10.0081,255,255,255
12000,0.7026,4.7986,10.2346,255,255,255
12250,0.7408,4.8966,10.4647,255,255,255
12500,0.7796,4.996,10.6983,255,255,255
12750,0.8189,5.0968,10.935,255,255,255
13000,0.8586,5.1988,11.1747,255,255,255
13250,0.8989,5.3019,11.417,255,255,255
13500,0.9395,5.406,11.6619,255,255,255
13750,0.9805,5.5111,11.909,255,255,255
14000,1.0219,5.6171,12.1582,255,255,255
14250,1.0635,5.7238,12.4092,255,255,255
14500,1.1055,5.8312,12.6618,255,255,255
14750,1.1476,5.9392,12.9157,255,255,255
15000,1.19,6.0476,13.1709,255,255,255
15250,1.2325,6.1564,13.4269,255,255,255
15500,1.2751,6.2656,13.6837,255,255,255
15750,1.3178,6.3749,13.9409,255,255,255
16000,1.3605,6.4843,14.1984,255,255,255
16250,1.4033,6.5937,14.4559,255,255,255
16500,1.446,6.703,14.7133,255,255,255
16750,1.4887,6.8121,14.9702,255,255,255
17000,1.5312,6.921,15.2265,255,255,255
17250,1.5736,7.0295,15.4819,255,255,255
17500,1.6158,7.1375,15.7362,255,255,255
17750,1.6579,7.245,15.9893,255,255,255
18000,1.6996,7.3518,16.2408,255,255,255
18250,1.7411,7.4578,16.4905,255,255,255
18500,1.7822,7.563,16.7383,255,255,255
18750,1.823,7.6673,16.9839,255,255,255
19000,1.8634,7.7705,17.2271,255,255,255
19250,1.9033,7.8726,17.4676,255,255,255
19500,1.9428,7.9735,17.7052,255,255,255
19750,1.9817,8.073,17.9398,255,255,255
20000,2.0201,8.1712,18.171,255,255,255
20250,2.0579,8.2678,18.3987,255,255,255
20500,2.0951,8.3628,18.6226,255,255,255
20750,2.1316,8.4562,18.8425,255,255,255
21000,2.1674,8.5477,19.0583,255,255,255
21250,2.2025,8.6374,19.2696,255,255,255
21500,2.2368,8.725,19.4762,255,255,255
21750,2.2703,8.8106,19.678,255,255,255
22000,2.303,8.8941,19.8746,255,255,255
22250,2.3348,8.9752,20.0659,255,255,255
22500,2.3656,9.0541,20.2517,255,255,255
22750,2.3955,9.1304,20.4317,255,255,255
23000,2.4244,9.2042,20.6057,255,255,255
23250,2.4523,9.2754,20.7735,255,255,255
23500,2.4791,9.3438,20.9348,255,255,255
23750,2.5047,9.4094,21.0894,255,255,255
24000,2.5293,9.4721,21.2372,255,255,255
24250,2.5526,9.5318,21.3779,255,255,255
24500,2.5748,9.5883,21.5112,255,255,255
24750,2.5957,9.6416,21.6369,255,255,255
25000,2.6152,9.6917,21.7549,255,255,255
25250,2.6335,9.7383,21.8648,255,255,255
25500,2.6504,9.7814,21.9666,255,255,255
25750,2.6659,9.821,22.0598,255,255,255
26000,2.6799,9.8569,22.1444,255,255,255
26250,2.6925,9.889,22.2201,255,255,255
26500,2.7036,9.9172,22.2867,255,255,255
26750,2.7131,9.9414,22.3439,255,255,255
27000,2.721,9.9616,22.3915,255,255,255
27250,2.7273,9.9777,22.4293,255,255,255
27500,2.7319,9.9895,22.4572,255,255,255
27750,2.7348,9.9969,22.4747,255,255,255
28000,2.736,9.9999,22.4818,255,255,255
28250,2.736,10,22.482,255,255,255
28500,2.736,10,22.482,255,255,255
28750,2.736,10,22.482,255,255,255
29000,2.736,10,22.482,255,255,255
29250,2.736,10,22.482,255,255,255
29500,2.736,10,22.482,255,255,255
29750,2.736,10,22.482,255,255,255
30000,2.736,10,22.482,255,255,255
30250,2.736,10,22.482,255,255,255
30500,2.736,10,22.482,255,255,255
30750,2.736,10,22.482,255,255,255
31000,2.736,10,22.482,255,255,255
31250,2.736,10,22.482,255,255,255
31500,2.736,10,22.482,255,255,255
31750,2.736,10,22.482,255,255,255
32000,2.736,10,22.482,255,255,255
32250,2.736,10,22.482,255,255,255
32500,2.736,10,22.482,255,255,255
32750,2.736,10,22.482,255,255,255
33000,2.736,10,22.482,255,255,255
33250,2.736,10,22.482,255,255,255
33500,2.7138,10,22.4892,255,255,255
33750,2.6335,10,22.5152,255,255,255
34000,2.503,10,22.5574,255,255,255
34250,2.331,10,22.6131,255,255,255
34500,2.1266,10,22.6793,255,255,255
34750,1.8985,10,22.7531,255,255,255
35000,1.6556,10,22.8317,255,255,255
35250,1.4068,10,22.9123,255,255,255
35500,1.1609,10,22.9919,255,255,255
35750,0.9269,10,23.0676,255,255,255
36000,0.7135,10,23.1367,255,255,255
36250,0.5296,10,23.1962,255,255,255
36500,0.3842,10,23.2433,255,255,255
36750,0.286,10,23.2751,255,255,255
37000,0.2439,10,23.2887,255,255,255
37250,0.243,10,23.289,255,255,255
37500,0.243,10,23.289,255,255,255
37750,0.243,10,23.289,255,255,255
38000,0.243,10,23.289,255,255,255
38250,0.243,10,23.289,255,255,255
38500,0.243,10,23.289,255,255,255
38750,0.243,10,23.289,255,255,255
39000,0.243,10,23.289,255,255,255
39250,0.243,10,23.289,255,255,255
39500,0.243,10,23.289,255,255,255
39750,0.243,10,23.289,255,255,255
40000,0.243,10,23.289,255,255,255
40250,0.243,10,23.289,255,255,255
40500,0.243,10,23.289,255,255,255
40750,0.243,10,23.289,255,255,255
41000,0.243,10,23.289,255,255,255
41250,0.243,10,23.289,255,255,255
41500,0.243,10,23.289,255,255,255
41750,0.243,10,23.289,255,255,255
42000,0.243,10,23.289,255,255,255
42250,0.243,10,23.289,255,255,255
42500,0.243,10,23.289,255,255,255
42750,0.243,10,23.289,255,255,255
43000,0.243,10,23.289,255,255,255
43250,0.243,10,23.289,255,255,255
43500,0.243,10,23.289,255,255,255
43750,0.2369,10,23.2884,255,255,255
44000,0.2139,10,23.2859,255,255,255
44250,0.1741,10,23.2816,255,255,255
44500,0.1181,10,23.2756,255,255,255
44750,0.0463,10,23.268,255,255,255
45000,-0.0408,10,23.2587,255,255,255
45250,-0.1427,10,23.2478,255,255,255
45500,-0.2588,10,23.2355,255,255,255
45750,-0.3888,10,23.2217,255,255,255
46000,-0.532,10,23.2065,255,255,255
46250,-0.6881,10,23.19,255,255,255
46500,-0.8566,10,23.1722,255,255,255
46750,-1.0368,10,23.1532,255,255,255
47000,-1.2285,10,23.133,255,255,255
47250,-1.4309,10,23.1117,255,255,255
47500,-1.643,10,23.0894,255,255,255
47750,-1.8623,10,23.0664,255,255,255
48000,-2.0878,10,23.0426,255,255,255
48250,-2.3187,10,23.0183,255,255,255
48500,-2.5539,10,22.9935,255,255,255
48750,-2.7926,10,22.9684,255,255,255
49000,-3.0337,10,22.9429,255,255,255
49250,-3.2762,10,22.9173,255,255,255
49500,-3.5194,10,22.8917,255,255,255
49750,-3.7621,10,22.866,255,255,255
50000,-4.0035,10,22.8405,255,255,255
50250,-4.2426,10,22.8153,255,255,255
50500,-4.4784,10,22.7903,255,255,255
50750,-4.71,10,22.7658,255,255,255
51000,-4.9364,10,22.7419,255,255,255
51250,-5.1567,10,22.7186,255,255,255
51500,-5.3699,10,22.696,255,255,255
51750,-5.5751,10,22.6743,255,255,255
52000,-5.7714,10,22.6535,255,255,255
52250,-5.9577,10,22.6338,255,255,255
52500,-6.1331,10,22.6152,255,255,255
52750,-6.2966,10,22.5979,255,255,255
53000,-6.4474,10,22.5819,255,255,255
53250,-6.5844,10,22.5674,255,255,255
53500,-6.7067,10,22.5545,255,255,255
53750,-6.8134,10,22.5432,255,255,255
54000,-6.9035,10,22.5336,255,255,255
54250,-6.976,10,22.5259,255,255,255
54500,-7.03,10,22.5202,255,255,255
54750,-7.0646,10,22.5165,255,255,255
55000,-7.0787,10,22.515,255,255,255
55250,-7.079,10,22.515,255,255,255
