Time [msec],x [m],y [m],z [m],Red,Green,Blue
0,0,0,0,255,255,255
250,0,0,0.0474,255,255,255
500,0,0,0.2195,255,255,255
750,0,0,0.5,255,255,255
1000,0,0,0.8703,255,255,255
1250,0,0,1.3121,255,255,255
1500,0,0,1.8086,255,255,255
1750,0,0,2.3447,255,255,255
2000,0,0,2.9026,255,255,255
2250,0,0,3.4643,255,255,255
2500,0,0,4.0119,255,255,255
2750,0,0,4.5274,255,255,255
3000,0,0,4.9929,255,255,255
3250,0,0,5.3904,255,255,255
3500,0,0,5.7019,255,255,255
3750,0,0,5.9096,255,255,255
4000,-0.0002,0.0006,6.0088,255,255,255
4250,-0.0012,0.004,6.0382,255,255,255
4500,-0.0034,0.0119,6.0365,255,255,255
4750,-0.0072,0.0259,6.0425,255,255,255
5000,-0.0128,0.0469,6.0763,255,255,255
5250,-0.0201,0.0737,6.1205,255,255,255
5500,-0.029,0.1064,6.1744,255,255,255
5750,-0.0396,0.1448,6.2378,255,255,255
6000,-0.0517,0.1888,6.3105,255,255,255
6250,-0.0653,0.2383,6.3922,255,255,255
6500,-0.0803,0.2932,6.4829,255,255,255
6750,-0.0968,0.3534,6.5822,255,255,255
7000,-0.1146,0.4186,6.6897,255,255,255
7250,-0.1338,0.4887,6.8052,255,255,255
7500,-0.1542,0.5635,6.9286,255,255,255
7750,-0.1759,0.6429,7.0595,255,255,255
8000,-0.1989,0.7268,7.1978,255,255,255
8250,-0.223,0.815,7.3432,255,255,255
8500,-0.2483,0.9075,7.4956,255,255,255
8750,-0.2746,1.004,7.6547,255,255,255
9000,-0.3021,1.1045,7.8203,255,255,255
9250,-0.3306,1.2087,7.9922,255,255,255
9500,-0.3601,1.3167,8.1701,255,255,255
9750,-0.3906,1.4282,8.3538,255,255,255
10000,-0.422,1.5431,8.5432,255,255,255
10250,-0.4543,1.6614,8.738,255,255,255
10500,-0.4875,1.7827,8.938,255,255,255
10750,-0.5215,1.9071,9.1429,255,255,255
11000,-0.5563,2.0344,9.3526,255,255,255
11250,-0.5918,2.1644,9.5669,255,255,255
11500,-0.6281,2.297,9.7854,255,255,255
11750,-0.665,2.4322,10.0081,255,255,255
12000,-0.7026,2.5697,10.2346,255,255,255
12250,-0.7408,2.7094,10.4647,255,255,255
12500,-0.7796,2.8511,10.6983,255,255,255
12750,-0.8189,2.9948,10.935,255,255,255
13000,-0.8586,3.1403,11.1747,255,255,255
13250,-0.8989,3.2873,11.417,255,255,255
13500,-0.9395,3.4359,11.6619,255,255,255
13750,-0.9805,3.5859,11.909,255,255,255
14000,-1.0219,3.7371,12.1582,255,255,255
14250,-1.0635,3.8894,12.4092,255,255,255
14500,-1.1055,4.0427,12.6618,255,255,255
14750,-1.1476,4.1968,12.9157,255,255,255
15000,-1.19,4.3516,13.1709,255,255,255
15250,-1.2325,4.507,13.4269,255,255,255
15500,-1.2751,4.6628,13.6837,255,255,255
15750,-1.3178,4.8189,13.9409,255,255,255
16000,-1.3605,4.9751,14.1984,255,255,255
16250,-1.4033,5.1313,14.4559,255,255,255
16500,-1.446,5.2875,14.7133,255,255,255
16750,-1.4887,5.4434,14.9702,255,255,255
17000,-1.5312,5.5988,15.2265,255,255,255
17250,-1.5736,5.7538,15.4819,255,255,255
17500,-1.6158,5.9081,15.7362,255,255,255
17750,-1.6579,6.0616,15.9893,255,255,255
18000,-1.6996,6.2142,16.2408,255,255,255
18250,-1.7411,6.3657,16.4905,255,255,255
18500,-1.7822,6.516,16.7383,255,255,255
18750,-1.823,6.665,16.9839,255,255,255
19000,-1.8634,6.8125,17.2271,255,255,255
19250,-1.9033,6.9584,17.4676,255,255,255
19500,-1.9428,7.1026,17.7052,255,255,255
19750,-1.9817,7.2449,17.9398,255,255,255
20000,-2.0201,7.3851,18.171,255,255,255
20250,-2.0579,7.5233,18.3987,255,255,255
20500,-2.0951,7.6591,18.6226,255,255,255
20750,-2.1316,7.7925,18.8425,255,255,255
21000,-2.1674,7.9234,19.0583,255,255,255
21250,-2.2025,8.0515,19.2696,255,255,255
21500,-2.2368,8.1769,19.4762,255,255,255
21750,-2.2703,8.2992,19.678,255,255,255
22000,-2.303,8.4185,19.8746,255,255,255
22250,-2.3348,8.5346,20.0659,255,255,255
22500,-2.3656,8.6473,20.2517,255,255,255
22750,-2.3955,8.7564,20.4317,255,255,255
23000,-2.4244,8.862,20.6057,255,255,255
23250,-2.4523,8.9637,20.7735,255,255,255
