Time,North,East,Down,Velocity_North,Velocity_East,Velocity_Down,Acceleration_North,Acceleration_East,Acceleration_Down,Yaw,Mode
0,0.0,0.0,-0.83,-6.841432782956699e-77,-5.965135087845485e-11,0.08070372965037953,8.209719339548038e-76,7.158162105414581e-10,-2.246044755804554,0.0,70
0.05,-2.462915801864412e-78,-2.1471713296250527e-12,-0.8287514657325863,-3.147059080160082e-77,-2.743962140408923e-11,-0.030344284360825403,6.56777547163843e-76,5.726529684331666e-10,-2.1958758046436433,0.0,70
0.1,-3.283887735819216e-78,-2.8634872251132037e-12,-0.8329926209767817,-2.736573113182688e-78,-2.3860540351381956e-12,-0.1388838508139848,4.925831603728823e-76,4.2948972632487487e-10,-2.1457068534827326,0.0,70
0.15000000000000002,-2.873401768841814e-78,-2.5051072327642032e-12,-0.842598043354684,1.7787725235687417e-77,1.5509351228398267e-11,-0.24491496970909868,3.2838877358192146e-76,2.863264842165832e-10,-2.095537902321822,0.0,70
0.2,-1.6419438679096085e-78,-1.432187701766452e-12,-0.8574423104883908,3.0102304245009454e-77,2.6246594386520127e-11,-0.348437641046167,1.6419438679096076e-76,1.431632421082916e-10,-2.045368951160911,0.0,70
0.25,0.0,0.0,-0.8774,3.4207163914783494e-77,2.9825675439227425e-11,-0.4494518648251898,0.0,0.0,-1.995200000000001,0.0,70
0.3,1.6419438679096093e-78,1.4317436125566019e-12,-0.9023456895116091,3.010230424500947e-77,2.6246594386520127e-11,-0.5479576410461671,-1.641943867909609e-76,-1.4316324210829177e-10,-1.9450310488390894,0.0,70
0.35,2.8734017688418145e-78,2.5051072327642032e-12,-0.932153956645316,1.778772523568741e-77,1.550935122839825e-11,-0.6439549697090988,-3.2838877358192165e-76,-2.8632648421658333e-10,-1.894862097678178,0.0,70
0.39999999999999997,3.283887735819215e-78,2.8630431359033537e-12,-0.9666993790232182,-2.736573113182686e-78,-2.3860540351382005e-12,-0.7374438508139849,-4.9258316037288234e-76,-4.2948972632487497e-10,-1.8446931465172665,0.0,70
0.44999999999999996,2.462915801864411e-78,2.1471713296250527e-12,-1.0058565342674137,-3.1470590801600824e-77,-2.7439621404089237e-11,-0.8284242843608254,-6.56777547163843e-76,-5.726529684331666e-10,-1.794524195356355,0.0,70
0.49999999999999994,0.0,0.0,-1.0494999999999999,-6.841432782956699e-77,-5.965135087845485e-11,-0.9168962703496203,-8.209719339548039e-76,-7.15816210541458e-10,-1.7443552441954369,0.0,70
0.5499999999999999,-4.104859669774024e-78,-3.5789149421816546e-12,-1.0974993762209773,-8.89386261784371e-77,-7.75467561419913e-11,-1.0025611514545063,7.36364019794659e-91,7.237830359838992e-25,-1.6822399999999968,0.0,70
0.6,-8.209719339548046e-78,-7.157829884363309e-12,-1.1497043524419546,-6.841432782956691e-77,-5.965135087845477e-11,-1.08512027034962,8.209719339548054e-76,7.158162105414595e-10,-1.6201247558045566,0.0,70
0.65,-1.026214917443505e-77,-8.947509400059062e-12,-1.2059596405524429,-6.841432782956657e-78,-5.96513508784544e-12,-1.1645736270349618,1.641943867909608e-75,1.4316324210829167e-09,-1.5580095116091166,0.0,70
0.7000000000000001,-8.209719339548031e-78,-7.158273973573159e-12,-1.2661099524419543,9.578005896139394e-77,8.351189122983693e-11,-1.2409212215105316,2.462915801864413e-75,2.1474486316243755e-09,-1.4958942674136766,0.0,70
0.7500000000000001,1.4777494811186484e-77,1.2884804334589717e-11,-1.397476005604482,3.256522004687389e-76,2.839404301814451e-10,-1.3843897531358083,1.641943867909583e-76,1.431632421082891e-10,-1.3752889511609108,0.0,70
0.8000000000000002,2.9965475589350365e-77,2.6127100483108734e-11,-1.4683902335868666,2.5586958608258028e-76,2.2309605228542095e-10,-1.451691948892421,-2.9554989622372996e-75,-2.5769383579492544e-09,-1.3167988791035876,0.0,70
0.8500000000000002,3.7764708961921e-77,3.292743855354274e-11,-1.5425964587670098,3.0102304245009293e-77,2.6246594386519966e-11,-1.516069641046167,-6.075192311265552e-75,-5.297039958006793e-09,-1.2583088070462647,0.0,70
0.9000000000000002,3.037596155632773e-77,2.6485036386247884e-11,-1.6199484559647686,-3.516496450439751e-76,-3.0660794351525856e-10,-1.5775228295970471,-9.19488566029381e-75,-8.017141558064336e-09,-1.1998187349889415,0.0,70
0.9500000000000003,0.0,0.0,-1.7003,-8.893862617843709e-76,-7.75467561419913e-10,-1.6360515145450611,-1.2314579009322059e-74,-1.0737243158121874e-08,-1.1413286629316222,0.0,70
1.0000000000000002,-5.500511957497191e-77,-4.795985830696736e-11,-1.7835062013610945,-1.2136701756965183e-75,-1.058214964583789e-09,-1.6917358360022605,-6.567775471638313e-76,-5.726529684331581e-10,-1.0860441953563569,0.0,70
1.0500000000000003,-1.1165218301785341e-76,-9.735146022649133e-11,-1.8694275132105802,-9.550640165007542e-76,-8.32732858263229e-10,-1.7446559340806969,1.1001023914994396e-74,9.591937221255558e-09,-1.0307597277810916,0.0,70
1.1000000000000003,-1.4079668667324888e-76,-1.2276268890332176e-10,-1.957925724379518,-1.135677841970775e-76,-9.90212424582328e-11,-1.79481180878037,2.265882537715262e-74,1.975652741094427e-08,-0.9754752602058263,0.0,70
1.1500000000000004,-1.1329412688576269e-76,-9.878275974983808e-11,-2.0488626236989713,1.3108185212145102e-75,1.1429198828312e-09,-1.8422034601012798,3.431662683931085e-74,2.992111760063299e-08,-0.920190792630561,0.0,70
